ville,pays,latitude,longitude,timestamp_utc,date,heure,jour_semaine,is_weekend,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-29T16:00:00Z,2025-07-29,16,Tuesday,False,1,77.99,0,0.35,55.01,0.15,1.33,2.2,0.34
Antananarivo,MG,-18.8792,47.5079,2025-07-29T17:00:00Z,2025-07-29,17,Tuesday,False,1,80.56,0,0.37,55.34,0.16,1.43,2.37,0.34
Antananarivo,MG,-18.8792,47.5079,2025-07-29T18:00:00Z,2025-07-29,18,Tuesday,False,1,82.2,0,0.37,55.7,0.16,1.52,2.49,0.33
Antananarivo,MG,-18.8792,47.5079,2025-07-29T19:00:00Z,2025-07-29,19,Tuesday,False,1,82.76,0,0.37,55.65,0.16,1.59,2.57,0.32
Antananarivo,MG,-18.8792,47.5079,2025-07-29T20:00:00Z,2025-07-29,20,Tuesday,False,1,81.5,0,0.35,55.69,0.15,1.57,2.52,0.27
Antananarivo,MG,-18.8792,47.5079,2025-07-29T21:00:00Z,2025-07-29,21,Tuesday,False,1,77.42,0,0.3,55.54,0.12,1.42,2.25,0.2
Antananarivo,MG,-18.8792,47.5079,2025-07-29T22:00:00Z,2025-07-29,22,Tuesday,False,1,73.79,0,0.25,55.22,0.1,1.27,1.98,0.16
Antananarivo,MG,-18.8792,47.5079,2025-07-29T23:00:00Z,2025-07-29,23,Tuesday,False,1,71.07,0,0.22,54.84,0.09,1.14,1.75,0.14
Antananarivo,MG,-18.8792,47.5079,2025-07-30T00:00:00Z,2025-07-30,0,Wednesday,False,1,69.17,0,0.19,54.48,0.08,1.02,1.57,0.13
Antananarivo,MG,-18.8792,47.5079,2025-07-30T01:00:00Z,2025-07-30,1,Wednesday,False,1,68.43,0,0.18,54.32,0.08,0.96,1.5,0.13
Antananarivo,MG,-18.8792,47.5079,2025-07-30T02:00:00Z,2025-07-30,2,Wednesday,False,1,68.51,0,0.18,53.97,0.08,0.97,1.57,0.14
Antananarivo,MG,-18.8792,47.5079,2025-07-30T03:00:00Z,2025-07-30,3,Wednesday,False,1,69.51,0,0.2,53.77,0.09,1.03,1.73,0.16
Antananarivo,MG,-18.8792,47.5079,2025-07-30T04:00:00Z,2025-07-30,4,Wednesday,False,1,73.55,0,0.26,53.42,0.12,1.21,2.11,0.23
Antananarivo,MG,-18.8792,47.5079,2025-07-30T05:00:00Z,2025-07-30,5,Wednesday,False,1,77.47,0.01,0.32,53.35,0.14,1.34,2.39,0.3
Antananarivo,MG,-18.8792,47.5079,2025-07-30T06:00:00Z,2025-07-30,6,Wednesday,False,1,78.54,0.03,0.29,54.09,0.16,1.34,2.39,0.33
Antananarivo,MG,-18.8792,47.5079,2025-07-30T07:00:00Z,2025-07-30,7,Wednesday,False,1,74.94,0.03,0.2,57.04,0.14,1.1,1.91,0.29
Antananarivo,MG,-18.8792,47.5079,2025-07-30T08:00:00Z,2025-07-30,8,Wednesday,False,1,72.69,0.03,0.13,57.43,0.13,0.98,1.65,0.28
Antananarivo,MG,-18.8792,47.5079,2025-07-30T09:00:00Z,2025-07-30,9,Wednesday,False,1,70.85,0.02,0.1,56.57,0.12,0.95,1.53,0.27
Antananarivo,MG,-18.8792,47.5079,2025-07-30T10:00:00Z,2025-07-30,10,Wednesday,False,1,69.17,0.01,0.08,59.58,0.1,0.85,1.31,0.24
Antananarivo,MG,-18.8792,47.5079,2025-07-30T11:00:00Z,2025-07-30,11,Wednesday,False,2,68.61,0.01,0.08,60.12,0.09,0.83,1.25,0.24
Antananarivo,MG,-18.8792,47.5079,2025-07-30T12:00:00Z,2025-07-30,12,Wednesday,False,1,68.82,0.01,0.1,59.2,0.1,0.84,1.26,0.26
Antananarivo,MG,-18.8792,47.5079,2025-07-30T13:00:00Z,2025-07-30,13,Wednesday,False,1,70.31,0.01,0.13,57.84,0.11,0.89,1.36,0.29
Antananarivo,MG,-18.8792,47.5079,2025-07-30T14:00:00Z,2025-07-30,14,Wednesday,False,1,72.76,0.01,0.19,55.87,0.12,0.96,1.53,0.32
Antananarivo,MG,-18.8792,47.5079,2025-07-30T15:00:00Z,2025-07-30,15,Wednesday,False,1,75.1,0,0.26,54.24,0.13,1.03,1.67,0.32
Antananarivo,MG,-18.8792,47.5079,2025-07-30T16:00:00Z,2025-07-30,16,Wednesday,False,1,77.78,0,0.32,51.83,0.14,1.09,1.8,0.34
Antananarivo,MG,-18.8792,47.5079,2025-07-30T17:00:00Z,2025-07-30,17,Wednesday,False,1,81.39,0,0.36,50.63,0.15,1.15,1.92,0.37
Antananarivo,MG,-18.8792,47.5079,2025-07-30T18:00:00Z,2025-07-30,18,Wednesday,False,1,82.7,0,0.36,51.41,0.15,1.17,1.94,0.34
Antananarivo,MG,-18.8792,47.5079,2025-07-30T19:00:00Z,2025-07-30,19,Wednesday,False,1,81.97,0,0.34,52.43,0.15,1.27,2.12,0.3
Antananarivo,MG,-18.8792,47.5079,2025-07-30T20:00:00Z,2025-07-30,20,Wednesday,False,1,81.02,0,0.32,53.1,0.15,1.39,2.35,0.27
Antananarivo,MG,-18.8792,47.5079,2025-07-30T21:00:00Z,2025-07-30,21,Wednesday,False,1,77.6,0,0.28,53.48,0.12,1.38,2.35,0.22
Antananarivo,MG,-18.8792,47.5079,2025-07-30T22:00:00Z,2025-07-30,22,Wednesday,False,1,74.25,0,0.24,53.7,0.11,1.33,2.28,0.18
Antananarivo,MG,-18.8792,47.5079,2025-07-30T23:00:00Z,2025-07-30,23,Wednesday,False,1,71.53,0,0.21,53.75,0.09,1.23,2.13,0.16
Antananarivo,MG,-18.8792,47.5079,2025-07-31T00:00:00Z,2025-07-31,0,Thursday,False,1,69.45,0,0.18,53.72,0.08,1.09,1.91,0.15
Antananarivo,MG,-18.8792,47.5079,2025-07-31T01:00:00Z,2025-07-31,1,Thursday,False,1,68.32,0,0.17,53.6,0.08,0.96,1.71,0.15
Antananarivo,MG,-18.8792,47.5079,2025-07-31T02:00:00Z,2025-07-31,2,Thursday,False,1,68.01,0,0.17,53.55,0.08,0.9,1.64,0.15
